ProductID,DES_Producto,CategoryName,SubcategoryName,Size,Weight
1,Adjustable Race,No Consta,No Consta,,
2,Bearing Ball,No Consta,No Consta,,
3,BB Ball Bearing,No Consta,No Consta,,
4,Headset Ball Bearings,No Consta,No Consta,,
316,Blade,No Consta,No Consta,,
317,LL Crankarm,No Consta,No Consta,,
318,ML Crankarm,No Consta,No Consta,,
319,HL Crankarm,No Consta,No Consta,,
320,Chainring Bolts,No Consta,No Consta,,
321,Chainring Nut,No Consta,No Consta,,
322,Chainring,No Consta,No Consta,,
323,Crown Race,No Consta,No Consta,,
324,Chain Stays,No Consta,No Consta,,
325,Decal 1,No Consta,No Consta,,
326,Decal 2,No Consta,No Consta,,
327,Down Tube,No Consta,No Consta,,
328,Mountain End Caps,No Consta,No Consta,,
329,Road End Caps,No Consta,No Consta,,
330,Touring End Caps,No Consta,No Consta,,
331,Fork End,No Consta,No Consta,,
332,Freewheel,No Consta,No Consta,,
341,Flat Washer 1,No Consta,No Consta,,
342,Flat Washer 6,No Consta,No Consta,,
343,Flat Washer 2,No Consta,No Consta,,
344,Flat Washer 9,No Consta,No Consta,,
345,Flat Washer 4,No Consta,No Consta,,
346,Flat Washer 3,No Consta,No Consta,,
347,Flat Washer 8,No Consta,No Consta,,
348,Flat Washer 5,No Consta,No Consta,,
349,Flat Washer 7,No Consta,No Consta,,
350,Fork Crown,No Consta,No Consta,,
351,Front Derailleur Cage,No Consta,No Consta,,
352,Front Derailleur Linkage,No Consta,No Consta,,
355,Guide Pulley,No Consta,No Consta,,
356,LL Grip Tape,No Consta,No Consta,,
357,ML Grip Tape,No Consta,No Consta,,
358,HL Grip Tape,No Consta,No Consta,,
359,Thin-Jam Hex Nut 9,No Consta,No Consta,,
360,Thin-Jam Hex Nut 10,No Consta,No Consta,,
361,Thin-Jam Hex Nut 1,No Consta,No Consta,,
362,Thin-Jam Hex Nut 2,No Consta,No Consta,,
363,Thin-Jam Hex Nut 15,No Consta,No Consta,,
364,Thin-Jam Hex Nut 16,No Consta,No Consta,,
365,Thin-Jam Hex Nut 5,No Consta,No Consta,,
366,Thin-Jam Hex Nut 6,No Consta,No Consta,,
367,Thin-Jam Hex Nut 3,No Consta,No Consta,,
368,Thin-Jam Hex Nut 4,No Consta,No Consta,,
369,Thin-Jam Hex Nut 13,No Consta,No Consta,,
370,Thin-Jam Hex Nut 14,No Consta,No Consta,,
371,Thin-Jam Hex Nut 7,No Consta,No Consta,,
372,Thin-Jam Hex Nut 8,No Consta,No Consta,,
373,Thin-Jam Hex Nut 12,No Consta,No Consta,,
374,Thin-Jam Hex Nut 11,No Consta,No Consta,,
375,Hex Nut 5,No Consta,No Consta,,
376,Hex Nut 6,No Consta,No Consta,,
377,Hex Nut 16,No Consta,No Consta,,
378,Hex Nut 17,No Consta,No Consta,,
379,Hex Nut 7,No Consta,No Consta,,
380,Hex Nut 8,No Consta,No Consta,,
381,Hex Nut 9,No Consta,No Consta,,
382,Hex Nut 22,No Consta,No Consta,,
383,Hex Nut 23,No Consta,No Consta,,
384,Hex Nut 12,No Consta,No Consta,,
385,Hex Nut 13,No Consta,No Consta,,
386,Hex Nut 1,No Consta,No Consta,,
387,Hex Nut 10,No Consta,No Consta,,
388,Hex Nut 11,No Consta,No Consta,,
389,Hex Nut 2,No Consta,No Consta,,
390,Hex Nut 20,No Consta,No Consta,,
391,Hex Nut 21,No Consta,No Consta,,
392,Hex Nut 3,No Consta,No Consta,,
393,Hex Nut 14,No Consta,No Consta,,
394,Hex Nut 15,No Consta,No Consta,,
395,Hex Nut 4,No Consta,No Consta,,
396,Hex Nut 18,No Consta,No Consta,,
397,Hex Nut 19,No Consta,No Consta,,
398,Handlebar Tube,No Consta,No Consta,,
399,Head Tube,No Consta,No Consta,,
400,LL Hub,No Consta,No Consta,,
401,HL Hub,No Consta,No Consta,,
402,Keyed Washer,No Consta,No Consta,,
403,External Lock Washer 3,No Consta,No Consta,,
404,External Lock Washer 4,No Consta,No Consta,,
405,External Lock Washer 9,No Consta,No Consta,,
406,External Lock Washer 5,No Consta,No Consta,,
407,External Lock Washer 7,No Consta,No Consta,,
408,External Lock Washer 6,No Consta,No Consta,,
409,External Lock Washer 1,No Consta,No Consta,,
410,External Lock Washer 8,No Consta,No Consta,,
411,External Lock Washer 2,No Consta,No Consta,,
412,Internal Lock Washer 3,No Consta,No Consta,,
413,Internal Lock Washer 4,No Consta,No Consta,,
414,Internal Lock Washer 9,No Consta,No Consta,,
415,Internal Lock Washer 5,No Consta,No Consta,,
416,Internal Lock Washer 7,No Consta,No Consta,,
417,Internal Lock Washer 6,No Consta,No Consta,,
418,Internal Lock Washer 10,No Consta,No Consta,,
419,Internal Lock Washer 1,No Consta,No Consta,,
420,Internal Lock Washer 8,No Consta,No Consta,,
421,Internal Lock Washer 2,No Consta,No Consta,,
422,Thin-Jam Lock Nut 9,No Consta,No Consta,,
423,Thin-Jam Lock Nut 10,No Consta,No Consta,,
424,Thin-Jam Lock Nut 1,No Consta,No Consta,,
425,Thin-Jam Lock Nut 2,No Consta,No Consta,,
426,Thin-Jam Lock Nut 15,No Consta,No Consta,,
427,Thin-Jam Lock Nut 16,No Consta,No Consta,,
428,Thin-Jam Lock Nut 5,No Consta,No Consta,,
429,Thin-Jam Lock Nut 6,No Consta,No Consta,,
430,Thin-Jam Lock Nut 3,No Consta,No Consta,,
431,Thin-Jam Lock Nut 4,No Consta,No Consta,,
432,Thin-Jam Lock Nut 13,No Consta,No Consta,,
433,Thin-Jam Lock Nut 14,No Consta,No Consta,,
434,Thin-Jam Lock Nut 7,No Consta,No Consta,,
435,Thin-Jam Lock Nut 8,No Consta,No Consta,,
436,Thin-Jam Lock Nut 12,No Consta,No Consta,,
437,Thin-Jam Lock Nut 11,No Consta,No Consta,,
438,Lock Nut 5,No Consta,No Consta,,
439,Lock Nut 6,No Consta,No Consta,,
440,Lock Nut 16,No Consta,No Consta,,
441,Lock Nut 17,No Consta,No Consta,,
442,Lock Nut 7,No Consta,No Consta,,
443,Lock Nut 8,No Consta,No Consta,,
444,Lock Nut 9,No Consta,No Consta,,
445,Lock Nut 22,No Consta,No Consta,,
446,Lock Nut 23,No Consta,No Consta,,
447,Lock Nut 12,No Consta,No Consta,,
448,Lock Nut 13,No Consta,No Consta,,
449,Lock Nut 1,No Consta,No Consta,,
